zip,city,lat,long
,,,
49861,upper peninsula,46.481614,-88.243343
,,,
48625,northern michigan,44.052769,-84.839621
,,,
48233,detroit metro,42.323697,-83.061662
,,,
48091,detroit metro,42.468168,-83.057986
,,,
49948,northern WI,46.711175,-89.020015
,,,
55029,minneapolis / st paul,45.638337,-93.198359
,,,
56467,bemidji,46.992697,-94.818584
,,,
56639,bemidji,47.918547,-93.536241
,,,
56671,bemidji,47.895133,-95.305386
,,,
56001,mankato,44.128125,-93.97899
,,,
56313,st cloud,45.784142,-93.552737
,,,
39140,jackson,31.749259,-90.020236
,,,
39759,tuscaloosa,33.437924,-88.825142
,,,
38920,north mississippi,33.910061,-89.995338
,,,
39170,jackson,32.111772,-90.330654
,,,
39069,southwest MS,31.68616,-91.043249
,,,
38945,north mississippi,33.600948,-90.168029
,,,
39332,meridian,32.3043,-88.998857
,,,
64093,kansas city,38.792472,-93.730884
,,,
90301,los angeles,33.956526,-118.358654
,,,
95545,mendocino county,40.280389,-124.06367
,,,
80023,boulder,39.975858,-105.009387
,,,
81227,high rockies,38.549238,-106.290215
,,,
80515,north CO,40.462346,-105.382303
,,,
6412,hartford,41.411728,-72.487146
,,,
6481,hartford,41.536736,-72.697937
,,,
19716,delaware,39.68956,-75.758391
,,,
34488,ocala,29.22809,-81.938619
,,,
34202,sarasota,27.406267,-82.388721
,,,
62982,western KY,37.424825,-88.365319
,,,
47708,evansville,37.974624,-87.573265
,,,
51243,sioux falls / SE SD,43.43974,-95.910459
,,,
30660,athens,33.789216,-82.951866
,,,
41073,cincinnati,39.101364,-84.478768
,,,
70357,,29.242273,-90.219498
,,,
71254,monroe,32.796481,-91.253379
,,,
42464,western KY,37.181253,-87.356159
,,,
41083,cincinnati,38.666019,-84.96746
,,,
40444,lexington,37.666711,-84.577249
,,,
41035,cincinnati,38.719224,-84.654354
,,,
40057,louisville,38.394194,-85.042908
,,,
41612,eastern kentucky,37.354326,-82.723004
,,,
40025,louisville,38.299699,-85.648691
,,,
40313,huntington-ashland,38.146989,-83.376611
,,,
41725,eastern kentucky,37.339144,-83.035062
,,,
40144,owensboro,37.74009,-86.368271
,,,
71360,central louisiana,31.327512,-92.35469
,,,
71268,monroe,32.346067,-92.73702
,,,
70575,lafayette,29.948922,-92.158095
,,,
71479,central louisiana,31.848859,-92.367977
,,,
4039,maine,43.904551,-70.367027
,,,
4622,maine,44.750666,-67.966927
,,,
4354,maine,44.396114,-69.43063
,,,
4975,maine,44.625354,-69.588334
,,,
4920,maine,45.142341,-69.854458
,,,
20899,frederick,39.143737,-77.216132
,,,
21717,frederick,39.338668,-77.43704
,,,
64125,kansas city,39.106463,-94.494153
,,,
63653,st louis,37.860286,-90.59159
,,,
64066,kansas city,39.135995,-94.125836
,,,
65556,lake of the ozarks,37.836155,-92.408884
,,,
65623,springfield,36.748816,-93.906409
,,,
65612,springfield,37.213797,-93.538811
,,,
59456,great falls,48.27015,-111.36167
,,,
59054,billings,46.644538,-107.74878
,,,
59735,butte,45.616492,-111.963356
,,,
59834,missoula,47.079611,-114.221797
,,,
68137,omaha / council bluffs,41.205825,-96.118601
,,,
69333,scottsbluff / panhandle,42.050942,-101.966594
,,,
68841,grand island,40.758828,-98.171175
,,,
68304,lincoln,40.878837,-96.397869
,,,
3280,new hampshire,43.190068,-72.093879
,,,
3753,new hampshire,43.51659,-72.149093
,,,
7621,new york city,40.922334,-73.998001
,,,
8740,north jersey,39.927706,-74.130615
,,,
16244,pittsburgh,40.792176,-79.276658
,,,
15422,morgantown,39.981184,-79.811587
,,,
18444,scranton / wilkes-barre,41.329074,-75.55277
,,,
17576,lancaster,40.037195,-76.19676
,,,
15049,pittsburgh,40.556113,-79.805574
,,,
19102,philadelphia,39.952783,-75.165586
,,,
18617,scranton / wilkes-barre,41.17054,-76.077533
,,,
29108,columbia,34.305524,-81.627342
,,,
29030,columbia,33.576312,-80.647573
,,,
29483,charleston,33.057779,-80.18291
,,,
29591,florence,33.937999,-79.76229
,,,
29117,columbia,33.498262,-80.848831
,,,
29368,greenville / upstate,35.081579,-81.863411
,,,
57422,northeast SD,45.419693,-97.909471
,,,
57054,sioux falls / SE SD,44.131488,-97.25979
,,,
37066,nashville,36.398757,-86.45554
,,,
38301,jackson,35.588164,-88.853395
,,,
37174,nashville,35.719838,-86.898124
,,,
60129,rockford,42.008121,-88.974996
,,,
61839,champaign urbana,40.137717,-88.629166
,,,
61049,rockford,42.049626,-89.008914
,,,
60144,rockford,41.835957,-88.520644
,,,
60302,chicago,41.894609,-87.789711
,,,
60472,chicago,41.643075,-87.708082
,,,
47421,bloomington,38.863494,-86.45223
,,,
47916,lafayette / west lafayette,39.983646,-87.05543
,,,
47860,terre haute,39.721857,-87.330273
,,,
46961,kokomo,40.76651,-86.191686
,,,
47281,louisville,38.788527,-86.106341
,,,
50230,ames,42.303248,-93.453417
,,,
50227,mason city,42.597441,-93.427851
,,,
50551,fort dodge,42.479577,-94.751117
,,,
50105,ames,42.110285,-93.637284
,,,
52033,dubuque,42.279038,-91.001257
,,,
50559,fort dodge,43.208819,-94.329243
,,,
51230,sioux falls / SE SD,43.36033,-96.323632
,,,
67747,northwest KS,39.04201,-101.065079
,,,
66621,topeka,39.033321,-95.701543
,,,
67457,salina,38.393628,-97.992841
,,,
40372,lexington,37.911756,-84.888114
,,,
99109,spokane / coeur d'alene,48.292946,-117.698546
,,,
99166,spokane / coeur d'alene,48.575363,-118.664374
,,,
98304,seattle-tacoma,46.884601,-121.736645
,,,
98830,moses lake,47.895366,-119.523246
,,,
26405,morgantown,39.225164,-79.910422
,,,
26554,morgantown,39.465392,-80.109845
,,,
25271,charleston,38.78851,-81.692539
,,,
98638,portland,46.394046,-123.761307
,,,
24844,southern WV,37.462452,-81.806627
,,,
24845,southern WV,37.517953,-81.817841
,,,
24736,southern WV,37.444189,-81.2774
,,,
26250,west virginia (old),39.033465,-79.962538
,,,
54521,northern WI,45.936699,-89.29145
,,,
24847,southern WV,37.577109,-81.418416
,,,
54985,appleton-oshkosh-FDL,44.075066,-88.518469
,,,
83116,logan,41.769544,-110.533471
,,,
26151,west virginia (old),38.879222,-81.172051
,,,
98305,,48.062891,-124.439072
,,,
24656,southwest VA,37.175055,-82.124994
,,,
830,,18.33856,-64.736533
,,,
19731,delaware,39.523585,-75.587574
,,,
46376,lafayette / west lafayette,41.184664,-87.475764
,,,
54896,northern WI,45.817173,-90.881747
,,,
33404,palm beach county,26.781022,-80.063738
,,,
35548,muscle shoals,34.056419,-87.750485
,,,
36775,montgomery,32.175542,-86.979214
,,,
71651,monroe,33.326924,-92.295767
,,,
53504,vermont,42.703516,-89.860349
,,,
3101,new hampshire,42.989027,-71.466111
,,,
21802,eastern shore,38.344771,-75.582696
,,,
2141,boston,42.3703,-71.08256
,,,
66019,lawrence,38.94544,-95.003284
,,,
61315,la salle co,41.287804,-89.364517
,,,
46987,kokomo,40.568813,-85.765358
,,,
48083,detroit metro,42.557021,-83.116859
,,,
4490,maine,45.436636,-67.867623
,,,
6059,hartford,41.957029,-72.942485
,,,
80290,denver,39.744092,-104.986754
,,,
99124,moses lake,47.999935,-118.952851
,,,
5747,plattsburgh-adirondacks,44.005291,-72.841314
,,,
76483,wichita falls,33.195202,-99.268024
,,,
88134,clovis / portales,34.323093,-104.018715
,,,
7702,jersey shore,40.32645,-74.057373
,,,
17083,lancaster,40.277602,-76.437595
,,,
84629,provo / orem,39.783373,-111.476408
,,,
19103,philadelphia,39.952896,-75.174298
,,,
15015,pittsburgh,40.637248,-80.081101
,,,
17250,cumberland valley,39.737141,-77.524295
,,,
43970,northern panhandle,40.463201,-80.889127
,,,
43529,lima / findlay,41.187605,-83.781585
,,,
12307,albany,42.804981,-73.932822
,,,
36522,mobile,31.090945,-88.275355
,,,
30165,northwest GA,34.302923,-85.269103
,,,
85922,show low,33.467569,-109.150827
,,,
85620,sierra vista,31.337282,-109.941325
,,,
84531,farmington,37.174265,-109.883579
,,,
96120,tahoe,38.743384,-119.867624
,,,
82063,high rockies,40.882289,-105.997396
,,,
93643,fresno,37.224696,-119.470738
,,,
96080,redding,40.18189,-122.377104
,,,
95458,mendocino county,39.161278,-122.745312
,,,
74578,fort smith,34.906148,-95.341654
,,,
97624,klamath falls,43.003246,-121.635689
,,,
97343,corvallis/albany,44.575254,-123.75149
,,,
97148,salem,45.358403,-123.248478
,,,
16616,state college,40.76762,-78.440215
,,,
97123,portland,45.440165,-122.980083
,,,
97424,eugene,43.74081,-123.018593
,,,
17756,williamsport,41.208002,-76.739819
,,,
97758,bend,43.338744,-119.872224
,,,
97494,roseburg,43.330404,-123.328081
,,,
19442,reading,40.129517,-75.583145
,,,
17887,williamsport,41.129175,-76.932899
,,,
15078,pittsburgh,40.355915,-80.384977
,,,
15737,altoona-johnstown,40.601258,-78.759013
,,,
15546,altoona-johnstown,40.136624,-79.047988
,,,
18428,poconos,41.404304,-75.118065
,,,
18814,elmira-corning,41.784063,-76.607272
,,,
17041,lancaster,40.216634,-76.539605
,,,
85019,phoenix,33.508879,-112.144514
,,,
71665,little rock,33.930261,-92.109532
,,,
71671,little rock,33.601989,-92.096049
,,,
71998,little rock,34.126385,-93.055286
,,,
72476,jonesboro,36.049514,-90.919912
,,,
71837,texarkana,33.254898,-93.845308
,,,
71763,little rock,33.916457,-92.80534
,,,
